"","date","cause","source","location","substance","volume","year_quarter"
"228","7/9/2008","Equipment Failure","well","MEDICINE HAT","gas",2,3
"229","5/17/2012","Operator Error","well","MEDICINE HAT","oil",1,2
"230","10/9/2010","Equipment Failure","well","MIDNAPORE","water",1,4
"231","10/1/2004","Operator Error","well","MIDNAPORE","water",1,4
"232","11/12/2011","Equipment Failure","pipeline","MEDICINE HAT","gas",2,4
"233","6/2/2004","Equipment Failure","pipeline","MEDICINE HAT","gas",2,2
"234","7/27/2004","Equipment Failure","pipeline","MEDICINE HAT","gas",2,3
"235","11/7/2009","Equipment Failure","pipeline","MEDICINE HAT","gas",2,4
"236","10/25/2009","Equipment Failure","pipeline","MEDICINE HAT","gas",2,4
"237","4/15/2005","Equipment Failure","pipeline","MEDICINE HAT","water",1,2
"238","9/4/2008","Equipment Failure","pipeline","MEDICINE HAT","water",1,3
"239","5/27/2007","Equipment Failure","battery","MEDICINE HAT","water",1,2
"240","2/5/2008","Equipment Failure","pipeline","MEDICINE HAT","water",2,1
"241","12/24/2008","Equipment Failure","battery","MEDICINE HAT","oil",2,4
"242","3/3/2006","Equipment Failure","well","MEDICINE HAT","gas",2,1
"243","12/15/2012","Equipment Failure","pipeline","MEDICINE HAT","water",2,4
"244","4/28/2003","Equipment Failure","battery","MEDICINE HAT","oil",1,2
"245","3/11/2009","Equipment Failure","well","MEDICINE HAT","water",2,1
"246","12/30/2009","Equipment Failure","battery","MEDICINE HAT","water",2,4
"247","10/1/2003","Equipment Failure","pipeline","MEDICINE HAT","oil",1,4
"248","4/23/2010","Equipment Failure","well","MEDICINE HAT","water",1,2
"249","5/18/2003","Equipment Failure","pipeline","MEDICINE HAT","oil",1,2
"250","11/1/2003","Equipment Failure","battery","MEDICINE HAT","oil",1,4
"251","10/27/2004","Equipment Failure","pipeline","MEDICINE HAT","oil",1,4
"252","3/14/2012","Equipment Failure","pipeline","MEDICINE HAT","water",2,1
"253","9/11/2005","Equipment Failure","battery","MEDICINE HAT","oil",1,3
"254","3/2/2005","Equipment Failure","pipeline","MEDICINE HAT","oil",1,1
"255","1/17/2004","Equipment Failure","pipeline","MEDICINE HAT","water",1,1
"256","11/6/2004","Equipment Failure","pipeline","MEDICINE HAT","oil",1,4
"257","8/8/2012","Equipment Failure","well","MEDICINE HAT","oil",1,3
"258","1/10/2008","Equipment Failure","pipeline","MEDICINE HAT","oil",1,1
"259","12/1/2004","Equipment Failure","well","MEDICINE HAT","water",2,4
"260","3/21/2008","Equipment Failure","pipeline","MEDICINE HAT","gas",2,1
"261","8/7/2005","Equipment Failure","pipeline","MEDICINE HAT","gas",2,3
"262","8/21/2009","Equipment Failure","pipeline","MEDICINE HAT","water",1,3
"263","11/5/2009","Equipment Failure","pipeline","MEDICINE HAT","gas",2,4
"264","3/8/2008","Operator Error","battery","MEDICINE HAT","oil",2,1
"265","3/25/2004","Operator Error","well","MEDICINE HAT","water",1,1
"266","9/5/2011","Equipment Failure","battery","MEDICINE HAT","gas",2,3
"267","3/25/2008","Equipment Failure","pipeline","MEDICINE HAT","oil",1,1
"268","9/9/2008","Equipment Failure","pipeline","MIDNAPORE","gas",2,3
"269","11/14/2005","Equipment Failure","pipeline","MEDICINE HAT","gas",2,4
"270","3/20/2007","Equipment Failure","pipeline","MEDICINE HAT","gas",2,1
"271","4/30/2007","Equipment Failure","pipeline","MEDICINE HAT","water",1,2
"272","6/25/2008","Equipment Failure","pipeline","MEDICINE HAT","gas",2,2
"273","9/16/2004","Equipment Failure","pipeline","MEDICINE HAT","gas",2,3
"274","3/13/2007","Equipment Failure","pipeline","MEDICINE HAT","water",1,1
"275","9/30/2007","Equipment Failure","pipeline","MEDICINE HAT","gas",2,3
